j = 4,k = 16,rank = 9,x = 13,payoff = 0.08896731528953304
j = 0,k = 8,rank = 19,x = 9,payoff = 0.08351704002252029
j = 0,k = 0,rank = 13,x = 10,payoff = 0.08659038105035144
j = 4,k = 12,rank = 5,x = 7,payoff = 0.08953636607256502
j = 3,k = 5,rank = 8,x = 9,payoff = 0.08897754896323852
j = 0,k = 5,rank = 18,x = 6,payoff = 0.08380988229412564
j = 0,k = 7,rank = 1,x = 6,payoff = 0.09279794418652944
j = 0,k = 2,rank = 16,x = 6,payoff = 0.08434126245425373
j = 2,k = 1,rank = 2,x = 5,payoff = 0.09206233070353083
j = 3,k = 10,rank = 10,x = 6,payoff = 0.087941568646847
j = 4,k = 1,rank = 6,x = 4,payoff = 0.08952603810746439
j = 1,k = 4,rank = 23,x = 4,payoff = 0.08106769711608852
j = 2,k = 8,rank = 22,x = 4,payoff = 0.0817505043233934
j = 4,k = 13,rank = 3,x = 3,payoff = 0.09045173302854988
j = 4,k = 7,rank = 12,x = 3,payoff = 0.08662434162719564
j = 2,k = 7,rank = 11,x = 2,payoff = 0.08700524593791657
j = 4,k = 2,rank = 7,x = 2,payoff = 0.0893385490663973
j = 3,k = 6,rank = 21,x = 1,payoff = 0.08213056618522215
j = 2,k = 5,rank = 52,x = 0,payoff = 0.008657097406512491
j = 4,k = 0,rank = 51,x = 0,payoff = 0.016674066375161358
j = 3,k = 4,rank = 50,x = 0,payoff = 0.019358735669976847
j = 2,k = 2,rank = 49,x = 0,payoff = 0.025256310146302197
j = 4,k = 5,rank = 48,x = 0,payoff = 0.02584608500555044
j = 3,k = 1,rank = 47,x = 0,payoff = 0.026996639729740483
j = 3,k = 9,rank = 46,x = 0,payoff = 0.030356901765629135
j = 4,k = 14,rank = 45,x = 0,payoff = 0.03251107958583236
j = 2,k = 4,rank = 44,x = 0,payoff = 0.035215226013463156
j = 2,k = 3,rank = 43,x = 0,payoff = 0.03652859983541592
j = 3,k = 0,rank = 42,x = 0,payoff = 0.038385406014177545
j = 3,k = 3,rank = 41,x = 0,payoff = 0.03967625626853549
j = 1,k = 2,rank = 40,x = 0,payoff = 0.04269707849911386
j = 4,k = 10,rank = 39,x = 0,payoff = 0.04275189762092701
j = 0,k = 3,rank = 38,x = 0,payoff = 0.044345735683105174
j = 4,k = 15,rank = 37,x = 0,payoff = 0.045185216703053234
j = 0,k = 1,rank = 36,x = 0,payoff = 0.049996782121225006
j = 1,k = 0,rank = 35,x = 0,payoff = 0.05196068439006288
j = 4,k = 8,rank = 34,x = 0,payoff = 0.05387333361858136
j = 0,k = 6,rank = 33,x = 0,payoff = 0.05857764488647534
j = 3,k = 2,rank = 32,x = 0,payoff = 0.06408792158493942
j = 1,k = 5,rank = 31,x = 0,payoff = 0.06614536545327457
j = 4,k = 3,rank = 30,x = 0,payoff = 0.06614537646277298
j = 4,k = 9,rank = 29,x = 0,payoff = 0.06800174701221748
j = 1,k = 1,rank = 28,x = 0,payoff = 0.06804887935669748
j = 2,k = 0,rank = 27,x = 0,payoff = 0.07211579264148085
j = 1,k = 3,rank = 26,x = 0,payoff = 0.07454313818435943
j = 3,k = 8,rank = 25,x = 0,payoff = 0.0783890847798723
j = 2,k = 6,rank = 24,x = 0,payoff = 0.0785170703964521
j = 3,k = 7,rank = 20,x = 0,payoff = 0.08318096605463608
j = 4,k = 11,rank = 17,x = 0,payoff = 0.08392439649379721
j = 4,k = 6,rank = 15,x = 0,payoff = 0.08553614810261892
j = 0,k = 4,rank = 14,x = 0,payoff = 0.08595747092754512
j = 4,k = 4,rank = 4,x = 0,payoff = 0.08980854624206422
fitness = 14.396731026466556
